Pregunta,Respuesta
[CE - Título III] ¿Cómo se denomina el Título III de la Constitución Española y qué artículos abarca?,<b>De las Cortes Generales (artículos 66 al 96)</b>
[CE - Título III] ¿En cuántos capítulos se divide el Título III de la Constitución Española?,<b>3</b>
[CE - Título III - Capítulos] ¿Cómo se denomina el Capítulo I del Título III de la Constitución Española y qué artículos abarca?,<b>De las Cámaras (artículos 66 al 80)</b>
[CE - Título III - Capítulos] ¿Cómo se denomina el Capítulo II del Título III de la Constitución Española y qué artículos abarca?,<b>De la elaboración de las leyes (artículos 81 al 92)</b>
[CE - Título III - Capítulos] ¿Cómo se denomina el Capítulo III del Título III de la Constitución Española y qué artículos abarca?,<b>De los Tratados Internacionales (artículos 93 al 96)</b>
[Cortes Generales - Reglamentos] ¿En qué artículo de la Constitución Española se reconocen los Reglamentos de las Cámaras?,<b>Artículo 72</b>
[Cortes Generales - Reglamentos] ¿Qué mayoría se requiere para la aprobación de los Reglamentos de las Cámaras?,<b>Mayoría absoluta</b>
[Cortes Generales - Congreso] ¿En qué artículo de la Constitución Española se regula la composición y elección del Congreso de los Diputados?,<b>Artículo 68</b>
[Cortes Generales - Congreso] ¿Cuál es el número mínimo y máximo de diputados que pueden componer el Congreso según la Constitución Española?,<b>Mínimo de 300 y máximo de 400</b>
[Cortes Generales - Congreso] ¿De cuántos diputados se compone actualmente el Congreso?,<b>350</b>
[Cortes Generales - Congreso] ¿Cuál es la circunscripción electoral para la elección de diputados del Congreso?,<b>La provincia</b>
[Cortes Generales - Congreso] ¿Cuántos diputados representan a las poblaciones de Ceuta y Melilla respectivamente en el Congreso?,<b>1 diputado</b>
[Cortes Generales - Elecciones] ¿Qué norma legal estatal regula el Régimen Electoral General en España?,<b>Ley Orgánica 5/1985, de 19 de junio</b>
[Cortes Generales - Congreso] ¿Por cuántos años es elegido el Congreso de los Diputados?,<b>4 años</b>
[Cortes Generales - Elecciones] ¿En qué plazo deben celebrarse las elecciones desde la terminación del mandato del Congreso?,<b>Entre los 30 días y 60 días</b>
[Cortes Generales - Elecciones] ¿En qué plazo debe ser convocado el Congreso electo tras la celebración de las elecciones?,<b>Dentro de los 25 días siguientes</b>
[Cortes Generales - Senado] ¿En qué artículo de la Constitución Española se regula el Senado como Cámara de representación territorial?,<b>Artículo 69</b>
[Cortes Generales - Senado] ¿Cuántos senadores se eligen en cada provincia por sufragio universal?,<b>4</b>
[Cortes Generales - Senado] ¿Cuántos senadores se eligen en las islas de Gran Canaria, Mallorca y Tenerife respectivamente?,<b>3 senadores cada isla</b>
[Cortes Generales - Senado] ¿Cuántos senadores se eligen en Ibiza, Formentera, Menorca, Fuerteventura, Gomera, Hierro, Lanzarote y La Palma?,<b>1 senador cada isla o agrupación</b>
[Cortes Generales - Senado] ¿Cuántos senadores eligen las poblaciones de Ceuta y Melilla respectivamente?,<b>2 senadores</b>
[Cortes Generales - Senado] ¿Cómo se calcula el número de senadores que designan las Comunidades Autónomas?,<b>1 fijo y otro más por cada millón de habitantes de su respectivo territorio</b>
[Cortes Generales - Senado] ¿Por cuántos años es elegido el Senado?,<b>4 años</b>
[Cortes Generales - Funcionamiento] ¿En cuántos períodos ordinarios de sesiones se reúnen anualmente las Cámaras?,<b>2</b>
[Cortes Generales - Funcionamiento] ¿Cuál es el rango temporal del primer período ordinario de sesiones de las Cámaras?,<b>De septiembre a diciembre</b>
[Cortes Generales - Funcionamiento] ¿Cuál es el rango temporal del segundo período ordinario de sesiones de las Cámaras?,<b>De febrero a junio</b>
[Cortes Generales - Funcionamiento] ¿Quiénes pueden solicitar la reunión de las Cámaras en sesiones extraordinarias?,<b>El Gobierno, la Diputación Permanente o la mayoría absoluta de los miembros de cualquiera de las Cámaras</b>
