[CE - Fechas] ¿En qué fecha fue aprobada la Constitución Española por las Cortes Generales?;El <b>31 de octubre de 1978</b>
[CE - Fechas] ¿En qué fecha fue ratificada la Constitución Española en referéndum popular?;El <b>6 de diciembre de 1978</b>
[CE - Fechas] ¿En qué fecha fue sancionada y promulgada la Constitución Española por el Rey Juan Carlos I?;El <b>27 de diciembre de 1978</b>
[CE - Fechas] ¿En qué fecha fue publicada en el BOE y entró en vigor la Constitución Española?;El <b>29 de diciembre de 1978</b>
[CE - Estructura] ¿De cuántos artículos consta en total la Constitución Española de 1978?;Consta de <b>169</b> artículos.
[CE - Estructura] ¿De cuántos Títulos numerados (excluyendo el Título Preliminar) consta la Constitución Española?;Consta de <b>10</b> Títulos numerados.
[CE - Estructura] ¿Cuántas disposiciones adicionales contiene la Constitución Española?;Contiene <b>4</b> disposiciones adicionales.
[CE - Estructura] ¿Cuántas disposiciones transitorias contiene la Constitución Española?;Contiene <b>9</b> disposiciones transitorias.
[CE - Estructura] ¿Cuántas disposiciones derogatorias contiene la Constitución Española?;Contiene <b>1</b> disposición derogatoria.
[CE - Estructura] ¿Cuántas disposiciones finales contiene la Constitución Española?;Contiene <b>1</b> disposición final.
[CE - Título Preliminar] ¿Qué artículos de la Constitución Española componen el Título Preliminar?;Los artículos del <b>1 al 9</b>
[CE - Art. 1.1] ¿Cuáles son los cuatro valores superiores del ordenamiento jurídico español?;<b>Libertad, justicia, igualdad y pluralismo político</b>
[CE - Art. 1.3] ¿Cuál es la forma política del Estado español?;La <b>Monarquía parlamentaria</b>
[CE - Art. 5] ¿Cuál es la capital del Estado?;La villa de <b>Madrid</b>
[CE - Art. 12] ¿A qué edad se establece la mayoría de edad de los españoles?;A los <b>18 años</b>
[CE - Art. 17.2] ¿Cuál es el plazo máximo de la detención preventiva establecido por la Constitución?;Un plazo máximo de <b>72 horas</b>
[CE - Garantías] ¿Qué artículos de la Constitución Española componen la Sección 1ª del Capítulo II del Título I (máxima protección)?;Los artículos del <b>15 al 29</b>
[CE - Garantías] ¿Qué artículos de la Constitución Española componen la Sección 2ª del Capítulo II del Título I?;Los artículos del <b>30 al 38</b>
[CE - Garantías] ¿Qué artículos de la Constitución Española componen el Capítulo III del Título I (principios rectores)?;Los artículos del <b>39 al 52</b>
[CE - Garantías] ¿Cuál es el único artículo de la Sección 2ª del Capítulo II del Título I cuya vulneración permite el recurso de amparo?;El artículo <b>30.2</b> (objeción de conciencia).
[CE - Art. 54] ¿Qué figura constitucional se regula como el alto comisionado de las Cortes Generales para la defensa de los derechos del Título I?;El <b>Defensor del Pueblo</b>
[CE - Art. 116 - Alarma] ¿Cuál es el plazo máximo por el que el Gobierno puede declarar el estado de alarma?;Un plazo máximo de <b>15 días</b>
[CE - Art. 116 - Alarma] ¿Qué órgano debe autorizar la prórroga del estado de alarma?;El <b>Congreso de los Diputados</b>
[CE - Art. 116 - Excepción] ¿Quién declara el estado de excepción y mediante qué instrumento?;El <b>Gobierno mediante decreto acordado en Consejo de Ministros, previa autorización del Congreso</b>
[CE - Art. 116 - Excepción] ¿Cuál es el plazo máximo de duración inicial del estado de excepción?;Un plazo de <b>30 días</b>
[CE - Art. 116 - Sitio] ¿Por qué órgano y con qué mayoría se declara el estado de sitio?;Por la <b>mayoría absoluta del Congreso</b>, a propuesta exclusiva del Gobierno.
[CE - Reforma] ¿Qué tipo de iniciativa legislativa queda expresamente excluida para la reforma constitucional?;La <b>iniciativa legislativa popular</b>
[CE - Reforma Congreso] ¿Qué requisitos de firmas se exigen para que el Congreso de los Diputados presente una proposición de reforma constitucional?;Debe estar suscrita por <b>2 grupos parlamentarios o una quinta parte de sus miembros</b>
[CE - Reforma Senado] ¿Qué requisitos de firmas se exigen para que el Senado presente una proposición de reforma constitucional?;Debe estar presentada por un mínimo de <b>50 senadores que no pertenezcan al mismo grupo parlamentario</b>
[CE - Art. 167 - Reforma Ordinaria] ¿Qué mayoría de votos se requiere en cada Cámara para aprobar inicialmente una reforma por la vía ordinaria?;Una mayoría de <b>3/5</b> de sus miembros.
[CE - Art. 167 - Reforma Ordinaria] Si no hay acuerdo en el procedimiento ordinario, ¿qué órgano elabora el nuevo texto a someter a votación?;Una <b>comisión mixta de diputados y senadores</b>
[CE - Art. 167 - Reforma Ordinaria] En caso de persistir el desacuerdo en la vía ordinaria, ¿qué mayoría especial del Congreso puede aprobar la reforma si el Senado ya la votó por mayoría absoluta?;Una mayoría de <b>2/3</b> del Congreso.
[CE - Art. 167 - Reforma Ordinaria] ¿Qué fracción de miembros de cualquiera de las Cámaras se requiere para solicitar referéndum facultativo y en qué plazo?;Una <b>décima parte</b> de los miembros del Congreso o del Senado, dentro de los <b>15 días</b> siguientes a su aprobación.
[CE - Art. 168 - Reforma Agravada] ¿Qué partes de la Constitución exigen obligatoriamente la vía de reforma agravada?;La revisión <b>total</b>, o la parcial que afecte al <b>Título Preliminar, a la Sección 1ª del Capítulo II del Título I, o al Título II</b>
[CE - Art. 168 - Reforma Agravada] ¿Qué mayoría se requiere para aprobar el principio de reforma constitucional por la vía agravada?;Una mayoría de <b>2/3</b> de cada Cámara.
[CE - Art. 168 - Reforma Agravada] ¿Qué consecuencia inmediata tiene la aprobación por las Cortes Generales del principio de reforma agravada?;La <b>disolución inmediata de las Cámaras y la convocatoria de nuevas elecciones</b>
[CE - Art. 168 - Reforma Agravada] Una vez constituidas las nuevas Cámaras en la vía agravada, ¿qué mayoría se requiere para aprobar el nuevo texto constitucional?;Una mayoría de <b>2/3</b> de cada Cámara.
[CE - Art. 168 - Reforma Agravada] ¿Cuál es el carácter del referéndum en el procedimiento de reforma agravada?;Es <b>preceptivo y vinculante</b>
[CE - Art. 168 - Reforma Agravada] ¿En qué plazo debe convocar el Rey el referéndum preceptivo tras la aprobación de la reforma agravada?;En un plazo de <b>30 días</b>
[CE - Art. 168 - Reforma Agravada] ¿En qué plazo máximo debe llevarse a cabo la consulta del referéndum tras su convocatoria por el Rey?;Dentro de los <b>60 días</b> siguientes a la convocatoria.
[CE - Art. 169 - Límites] ¿En qué situaciones temporales no podrá iniciarse la reforma constitucional?;En <b>tiempo de guerra o de vigencia de alguno de los estados previstos en el artículo 116 (alarma, excepción o sitio)</b>
[CE - Reformas Históricas] ¿En qué fecha se produjo la primera reforma constitucional (Artículo 13.2)?;El <b>27 de agosto de 1992</b>
[CE - Reformas Históricas] ¿Qué derecho de los extranjeros se introdujo en las elecciones municipales con la reforma de 1992?;El derecho de <b>sufragio pasivo</b>
[CE - Reformas Históricas] ¿En qué mes y año se aprobó la reforma del artículo 135 relativa a la estabilidad presupuestaria?;En <b>agosto de 2011</b>
[CE - Reformas Históricas] ¿Qué término obsoleto se eliminó del artículo 49 de la Constitución en la reforma de 2024?;El término <b>"disminuidos"</b> (sustituido por "personas con discapacidad").
[CE - Reformas Históricas] ¿Qué cambio de representación territorial en el Senado se introdujo en el artículo 69.3 mediante la reforma de 2026?;Que la isla de <b>Formentera tenga un senador propio</b>
[Corona - Art. 62] ¿Qué límite absoluto tiene el ejercicio del derecho de gracia por parte del Rey?;No podrá autorizar <b>indultos generales</b>
[Corona - Art. 63] ¿Qué requisito constitucional se exige para que el Rey pueda declarar la guerra y hacer la paz?;La <b>previa autorización de las Cortes Generales</b>
[Corona - Art. 59 - Regencia] ¿Quién ejerce la regencia en primer lugar en caso de minoría de edad del Rey?;La <b>madre o el padre del Rey</b>
[Corona - Art. 59 - Regencia] ¿Qué órgano constitucional debe reconocer la imposibilidad del Rey para ejercer sus funciones para dar paso a la regencia por inhabilitación?;Las <b>Cortes Generales</b>
[Corona - Art. 59 - Regencia] Si no existiera ninguna persona designada legítimamente, ¿cómo se compone la regencia nombrada por las Cortes?;Se compondrá de <b>una, tres o cinco personas</b>
[Corona - Art. 59 - Regencia] ¿Qué requisitos constitucionales acumulativos se exigen para poder ejercer la regencia?;Ser <b>español y mayor de edad</b>
[Corona - Art. 60 - Tutela] ¿Qué requisitos se exigen al tutor testamentario nombrado por el Rey menor de edad?;Ser <b>mayor de edad y español de nacimiento</b>
[Corona - Art. 60 - Tutela] Mientras permanezcan viudos, ¿quién ejerce la tutela legítima del Rey menor de edad en defecto de tutor testamentario?;La <b>madre o el padre de este</b>
[Corona - Art. 56.3 - Refrendo] ¿Cuáles son los únicos actos del Rey que quedan exentos del requisito constitucional del refrendo?;Conferir los <b>empleos civiles y militares de su servicio</b>
[Corona - Art. 64 - Refrendo] ¿Qué tres autoridades pueden refrendar los actos del Rey?;El <b>Presidente del Gobierno, los Ministros competentes o el Presidente del Congreso de los Diputados</b>
[Corona - Art. 64 - Refrendo] ¿Qué autoridad concreta es responsable de refrendar la propuesta y el nombramiento del Presidente del Gobierno?;El <b>Presidente del Congreso de los Diputados</b>
